Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,0.776825,0.791575,0.776825,0.791575,0.160366,386445
1970-01-05,0.791575,0.796492,0.786658,0.789117,0.159868,274579
1970-01-06,0.789117,0.789117,0.781742,0.786658,0.159370,447462
1970-01-07,0.786658,0.786658,0.771908,0.776825,0.157378,198307
1970-01-08,0.776825,0.784200,0.771908,0.771908,0.156382,162714
1970-01-09,0.771908,0.786658,0.771908,0.776825,0.157378,213562
1970-01-12,0.776825,0.784200,0.776825,0.781742,0.158374,127120
1970-01-13,0.776825,0.776825,0.754700,0.754700,0.152896,966112
1970-01-14,0.752242,0.752242,0.700618,0.705534,0.142935,1184758
1970-01-15,0.700618,0.700618,0.668660,0.678493,0.137457,1103402
1970-01-16,0.673576,0.673576,0.658826,0.671118,0.135963,1113571
1970-01-19,0.668660,0.668660,0.648993,0.648993,0.131480,752550
1970-01-20,0.648993,0.648993,0.624410,0.644076,0.130484,1449168
1970-01-21,0.644076,0.666201,0.636702,0.661285,0.133971,813568
1970-01-22,0.661285,0.688326,0.658826,0.683409,0.138453,727126
1970-01-23,0.683409,0.688326,0.661285,0.661285,0.133971,615261
1970-01-26,0.661285,0.668660,0.636702,0.668660,0.135465,838992
1970-01-27,0.668660,0.673576,0.651451,0.666201,0.134967,1113571
1970-01-28,0.666201,0.693243,0.666201,0.668660,0.135465,727126
1970-01-29,0.668660,0.668660,0.648993,0.668660,0.135465,1561034
1970-01-30,0.666201,0.666201,0.644076,0.646535,0.130982,432208
1970-02-02,0.648993,0.668660,0.648993,0.666201,0.134967,437293
1970-02-03,0.666201,0.668660,0.639160,0.646535,0.130982,818653
1970-02-04,0.646535,0.648993,0.629327,0.629327,0.127496,783059
1970-02-05,0.629327,0.629327,0.621952,0.626868,0.126998,254240
1970-02-06,0.624410,0.624410,0.604744,0.614577,0.124508,1006790
1970-02-09,0.614577,0.614577,0.594910,0.594910,0.120524,645770
1970-02-10,0.594910,0.602285,0.572786,0.572786,0.116041,1037299
1970-02-11,0.572786,0.617035,0.570327,0.604744,0.122516,1388150
1970-02-12,0.604744,0.604744,0.589994,0.604744,0.122516,2059344
1970-02-13,0.604744,0.609660,0.589994,0.599827,0.121520,966112
1970-02-16,0.599827,0.604744,0.589994,0.589994,0.119528,1469507
1970-02-17,0.589994,0.597369,0.585077,0.594910,0.122359,1200013
1970-02-18,0.594910,0.609660,0.592452,0.609660,0.125393,1708493
1970-02-19,0.629327,0.668660,0.629327,0.644076,0.132471,1576288
1970-02-20,0.644076,0.656368,0.639160,0.656368,0.134999,1871206
1970-02-24,0.656368,0.663743,0.651451,0.661285,0.136011,1337302
1970-02-25,0.673576,0.737492,0.673576,0.727659,0.149662,3432240
1970-02-26,0.725201,0.725201,0.693243,0.722742,0.148651,1316963
1970-02-27,0.732576,0.754700,0.732576,0.742409,0.152696,3015286
1970-03-02,0.742409,0.752242,0.700618,0.705534,0.145112,2761046
1970-03-03,0.705534,0.722742,0.705534,0.717826,0.147640,737296
